BoroCT2020,p-value,chi2_statistic,critical_chi2_value
1000700,0.0,inf,11.10469370284313
1000800,0.0,inf,11.122716684448196
1000900,0.0,inf,11.024553873333296
1001001,0.0,inf,11.092696409861961
1001200,0.0,inf,11.068318084320023
1001401,0.0,inf,11.092459893722314
1001402,0.0,inf,11.048631937913807
1001501,0.0,inf,11.042021285403454
1001502,0.0,inf,11.09920840745422
1001600,0.0,inf,10.99017306744176
1001800,0.0,inf,11.023495183508176
1002100,0.0,inf,11.072266502474445
1002202,0.0,inf,11.084442685001507
1002500,0.0,inf,11.106198056456732
1002601,0.0,inf,11.02818979833376
1002602,0.0,inf,11.012765169796818
1002902,0.02237715727458263,13.10914415372556,11.114917147522386
1003001,0.0,inf,11.039598173218115
1003002,0.0,inf,11.004027822735265
1003100,0.0,inf,11.094640342321267
1003200,0.0,inf,11.090904070667253
1003300,0.0,inf,11.124017289426789
1003400,0.0,inf,11.008390495255039
1003601,0.0,inf,11.141811506558101
1003602,0.0,inf,11.081909713667253
1003800,0.0,inf,11.078790442713908
1004001,0.0,inf,11.020371771760082
1004002,0.0,inf,11.034267724687147
1004100,0.0,inf,11.080208789370623
1004200,0.0,inf,11.099877024737632
1004300,0.0,inf,11.068819509946778
1004400,0.0,inf,11.05016749587035
1004700,0.0,inf,11.07373218726069
1004800,0.0,inf,11.074232533853545
1004900,0.0,inf,11.003253113341849
1005000,0.0,inf,11.02159022613668
1005200,0.0,inf,11.053980965456093
1005400,0.0,inf,11.130133664728097
1005501,0.0,inf,11.034253065061076
1005502,0.0,inf,11.080300867306454
1005600,0.0,inf,11.037948475317611
1005800,0.0,inf,11.034172387187345
1005900,0.0,inf,11.055510374796674
1006100,0.0,inf,11.034488217020112
1006200,0.0,inf,11.098292720770482
1006300,0.0,inf,11.013931192730364
1006400,0.0,inf,11.071011722575529
1006500,0.0,inf,11.120185678422095
1006600,0.0,inf,11.052554087716704
1006700,0.0,inf,11.094499454865085
1006800,0.0,inf,11.12729006843609
1007002,0.0,inf,10.990644355850879
1007100,0.0,inf,11.081667591334359
1007200,0.0,inf,11.051016111916113
1007300,0.0,inf,11.032186929571957
1007400,0.0,inf,11.105601162811949
1007500,0.0,inf,11.083036348507205
1007600,0.0,inf,11.067113800293491
1007700,0.0,inf,11.080036428834466
1007800,0.0,inf,11.074101813825628
1007900,0.0,inf,11.082700543770136
1008000,0.0,inf,11.032376765005015
1008100,0.0,inf,11.113953866587615
1008200,0.0,inf,11.058171451652466
1008300,0.0,inf,11.0630055283373
1008700,0.0,inf,11.063416338038586
1008800,0.0,inf,11.0566899414155
1008900,0.0,inf,11.032161235572682
1009000,0.0,inf,11.140290998885732
1009100,0.0,inf,11.05473867661794
1009200,0.0,inf,11.065222925374435
1009300,0.0,inf,11.035651324280403
1009500,0.0,inf,11.096047619328095
1009700,0.0,inf,11.06679577372133
1009800,0.0,inf,11.065315255912047
1009902,0.0,inf,11.071980731124775
1009903,0.0,inf,11.038264425517108
1010000,0.0,inf,11.041914508411459
1010400,0.0,inf,11.028729390037784
1010601,0.0,inf,11.021372773345803
1010602,0.0,inf,11.016370627006204
1010803,0.0,inf,11.127406561686255
1010900,0.0,inf,11.080495622445635
1011000,0.0,inf,11.046174399079224
1011100,0.0,inf,11.070225820973143
1011202,0.001310486519389343,19.890094158053945,11.091684985440015
1011402,0.0,inf,11.126921821710166
1011500,0.0,inf,11.04307066104317
1011600,0.0,inf,11.106577112141201
1011700,0.0,inf,11.11511737448402
1011800,0.0,inf,11.055679635578734
1012000,0.0,inf,11.054893007519738
1012101,0.0,inf,11.113920842722735
1012102,0.0,inf,11.074135426515348
1012200,0.0,inf,11.08493216063168
1012400,0.0,inf,11.006947941140725
1012500,0.0,inf,11.098310474385832
1012601,0.0,inf,11.052047916840795
1012602,0.0,inf,11.107902385778994
1012700,0.0,inf,11.201174017131864
1012901,0.0,inf,11.044225389711686
1012902,0.0,inf,11.056830907040117
1013000,0.0,inf,11.136977488550816
1013100,0.0,inf,11.079529964706882
1013201,0.0,inf,11.068481371238592
1013202,0.0,inf,11.072359099330226
1013300,0.0,inf,11.082670512950436
1013400,0.0,inf,11.089601751883547
1013501,0.0,inf,11.091386353376908
1013502,0.0,inf,11.0538733999819
1013602,0.0,inf,11.11565588637536
1013604,0.0,inf,11.036844036243343
1013700,0.0,inf,11.09615019458724
1013800,0.0,inf,11.108723569650925
1013900,0.0,inf,11.050359280564429
1014000,0.0,inf,11.033472311498263
1014402,0.0,inf,11.044022709411898
1014500,0.0,inf,11.085988410313949
1014601,0.0,inf,11.08686469359264
1014700,0.0,inf,11.118132216507636
1014801,0.0,inf,11.07789032066346
1014802,0.0,inf,11.07141475987975
1014900,0.0,inf,11.065399562393981
1015002,0.0,inf,11.00662902684808
1015101,0.0,inf,11.083103006527537
1015200,0.0,inf,11.052263766941616
1015302,0.0,inf,11.01435807568803
1015401,0.0,inf,11.05208030534682
1015501,0.0,inf,11.082049314475363
1015502,0.0,inf,11.056355370191364
1015700,0.0,inf,11.02214228120928
1015802,0.0,inf,11.100423403930574
1015900,0.0,inf,11.107017722523217
