BoroCT2020,Total,white,Black,American Indigenous,Other,Mixed Race,Asian,BoroName
2000100,1422.0,637.0,0.0,17.0,671.0,32.0,65.0,Bronx
2000200,1438.0,442.0,0.0,68.0,0.0,715.0,213.0,Bronx
2000400,2005.0,675.0,0.0,62.0,0.0,1021.0,247.0,Bronx
2001600,1561.0,524.0,0.0,73.0,0.0,836.0,128.0,Bronx
2001901,2292.0,311.0,915.0,34.0,691.0,299.0,42.0,Bronx
2001902,1613.0,304.0,643.0,24.0,459.0,162.0,21.0,Bronx
2001903,4.0,0.0,0.0,0.0,2.0,0.0,0.0,Bronx
2001904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bronx
2002001,1339.0,645.0,0.0,49.0,0.0,616.0,29.0,Bronx
2002002,1216.0,396.0,0.0,69.0,0.0,659.0,92.0,Bronx
2002300,1364.0,408.0,0.0,108.0,0.0,822.0,26.0,Bronx
2002400,12.0,1.0,0.0,0.0,2.0,3.0,0.0,Bronx
2002500,1533.0,494.0,0.0,219.0,0.0,760.0,60.0,Bronx
2002701,863.0,308.0,0.0,49.0,0.0,474.0,32.0,Bronx
2002702,1336.0,512.0,0.0,104.0,0.0,645.0,75.0,Bronx
2002800,1696.0,260.0,0.0,17.0,808.0,558.0,53.0,Bronx
2003100,1726.0,167.0,0.0,56.0,961.0,476.0,66.0,Bronx
2003300,895.0,321.0,0.0,45.0,0.0,504.0,25.0,Bronx
2003500,1041.0,430.0,0.0,57.0,0.0,519.0,35.0,Bronx
2003700,680.0,18.0,152.0,2.0,119.0,48.0,1.0,Bronx
2003800,1683.0,168.0,607.0,46.0,550.0,257.0,55.0,Bronx
2003900,2110.0,823.0,0.0,398.0,0.0,837.0,52.0,Bronx
2004001,1739.0,228.0,286.0,25.0,403.0,227.0,570.0,Bronx
2004100,1565.0,529.0,0.0,120.0,0.0,867.0,49.0,Bronx
2004200,1893.0,743.0,0.0,70.0,0.0,999.0,81.0,Bronx
2004300,1612.0,571.0,0.0,154.0,0.0,838.0,49.0,Bronx
2004400,1335.0,458.0,0.0,60.0,0.0,630.0,187.0,Bronx
2004600,1976.0,187.0,834.0,28.0,643.0,277.0,7.0,Bronx
2004800,2035.0,418.0,887.0,147.0,0.0,508.0,75.0,Bronx
2005001,1344.0,383.0,0.0,157.0,0.0,687.0,117.0,Bronx
2005002,1785.0,440.0,0.0,330.0,0.0,858.0,157.0,Bronx
2005100,1577.0,604.0,0.0,64.0,0.0,836.0,73.0,Bronx
2005200,2130.0,142.0,655.0,38.0,935.0,324.0,36.0,Bronx
2005300,879.0,203.0,0.0,52.0,0.0,605.0,19.0,Bronx
2005400,1841.0,373.0,0.0,228.0,0.0,863.0,377.0,Bronx
2005600,1463.0,228.0,734.0,66.0,0.0,370.0,65.0,Bronx
2005902,1543.0,332.0,692.0,23.0,0.0,457.0,39.0,Bronx
2006000,1262.0,99.0,251.0,16.0,633.0,249.0,14.0,Bronx
2006100,747.0,97.0,0.0,13.0,323.0,289.0,25.0,Bronx
2006200,1665.0,603.0,0.0,115.0,0.0,823.0,124.0,Bronx
2006301,1867.0,640.0,0.0,129.0,0.0,887.0,211.0,Bronx
2006302,38.0,0.0,9.0,0.0,10.0,0.0,0.0,Bronx
2006400,1348.0,310.0,0.0,111.0,0.0,607.0,320.0,Bronx
2006500,1890.0,672.0,0.0,254.0,0.0,880.0,84.0,Bronx
2006700,873.0,566.0,0.0,198.0,0.0,44.0,65.0,Bronx
2006800,2087.0,246.0,948.0,56.0,0.0,423.0,414.0,Bronx
2006900,1709.0,561.0,0.0,85.0,0.0,970.0,93.0,Bronx
2007000,2006.0,294.0,991.0,107.0,0.0,598.0,16.0,Bronx
2007100,1615.0,229.0,0.0,31.0,837.0,457.0,61.0,Bronx
2007200,2105.0,580.0,808.0,119.0,0.0,595.0,3.0,Bronx
2007300,1016.0,329.0,0.0,91.0,0.0,567.0,29.0,Bronx
2007400,979.0,297.0,0.0,28.0,0.0,517.0,137.0,Bronx
2007500,1916.0,664.0,0.0,102.0,0.0,1046.0,104.0,Bronx
2007600,2081.0,503.0,0.0,182.0,0.0,679.0,717.0,Bronx
2007700,1974.0,187.0,527.0,28.0,892.0,320.0,20.0,Bronx
2007800,1603.0,623.0,0.0,135.0,0.0,838.0,7.0,Bronx
2007900,1757.0,529.0,0.0,111.0,0.0,1041.0,76.0,Bronx
2008300,1617.0,463.0,0.0,131.0,0.0,957.0,66.0,Bronx
2008400,2587.0,202.0,966.0,25.0,904.0,274.0,216.0,Bronx
2008500,1648.0,624.0,0.0,114.0,0.0,841.0,69.0,Bronx
2008600,973.0,325.0,0.0,35.0,0.0,495.0,118.0,Bronx
2008700,1510.0,500.0,0.0,95.0,0.0,883.0,32.0,Bronx
2008900,1628.0,337.0,763.0,72.0,0.0,415.0,41.0,Bronx
2009000,1111.0,377.0,0.0,44.0,0.0,592.0,98.0,Bronx
2009200,1789.0,767.0,0.0,120.0,0.0,897.0,5.0,Bronx
