BoroCT2020,Black,white,Mixed Race,Asian,American Indigenous,Other
1000201,4,3,0,0,0,0
1000202,4,6,0,0,0,0
1000600,30,9,1,0,0,0
1000700,5,6,2,0,0,1
1000800,5,4,3,4,0,0
1000900,16,11,1,1,0,0
1001001,1,1,0,0,0,0
1001002,5,1,0,0,0,0
1001200,2,9,2,1,0,0
1001300,6,2,2,0,0,1
1001401,4,3,0,0,0,0
1001402,17,8,5,1,0,0
1001501,2,6,0,0,0,0
1001502,11,6,2,0,0,0
1001600,16,14,7,1,0,0
1001800,25,23,3,2,0,0
1002000,6,3,1,1,0,0
1002100,19,8,0,0,0,1
1002201,11,13,4,0,0,0
1002202,3,1,0,0,0,0
1002400,11,6,3,0,0,0
1002500,11,4,2,1,0,0
1002601,8,4,0,1,0,0
1002602,9,10,3,0,0,0
1002700,0,2,0,0,0,0
1002800,12,6,1,1,0,0
1002901,7,2,1,0,0,1
1002902,6,3,1,1,0,0
1003001,9,9,4,0,0,0
1003002,4,6,0,0,0,1
1003100,8,5,0,0,0,0
1003200,15,11,3,0,0,0
1003300,19,2,2,0,0,1
1003400,13,10,2,2,0,0
1003601,6,6,3,0,0,1
1003602,7,4,1,0,0,0
1003700,3,8,0,0,0,0
1003800,14,13,3,2,1,1
1003900,3,0,1,0,0,0
1004001,3,2,0,1,0,0
1004002,3,4,0,1,0,0
1004100,14,4,0,0,0,0
1004200,10,4,0,0,0,0
1004300,2,9,0,0,0,0
1004400,4,1,0,0,0,0
1004500,2,3,1,2,0,0
1004700,16,8,1,0,0,0
1004800,9,6,0,0,0,0
1004900,9,8,1,0,0,0
1005000,7,4,0,0,0,2
1005200,8,11,3,0,0,0
1005400,13,1,2,0,0,0
1005501,1,3,1,0,0,0
1005502,4,5,0,1,0,0
1005600,14,5,2,0,0,0
1005700,5,5,0,1,0,1
1005800,16,9,1,0,0,0
1005900,4,1,0,0,0,0
1006000,0,1,0,0,0,0
1006100,18,10,0,1,0,0
