"Label (Grouping)","Census Tract 1, New York County, New York","Census Tract 2.01, New York County, New York","Census Tract 2.02, New York County, New York","Census Tract 5, New York County, New York","Census Tract 6, New York County, New York","Census Tract 7, New York County, New York","Census Tract 8, New York County, New York","Census Tract 9, New York County, New York","Census Tract 10.01, New York County, New York","Census Tract 10.02, New York County, New York","Census Tract 12, New York County, New York","Census Tract 13, New York County, New York","Census Tract 14.01, New York County, New York","Census Tract 14.02, New York County, New York","Census Tract 15.01, New York County, New York","Census Tract 15.02, New York County, New York","Census Tract 16, New York County, New York","Census Tract 18, New York County, New York","Census Tract 20, New York County, New York","Census Tract 21, New York County, New York","Census Tract 22.01, New York County, New York","Census Tract 22.02, New York County, New York","Census Tract 24, New York County, New York","Census Tract 25, New York County, New York","Census Tract 26.01, New York County, New York","Census Tract 26.02, New York County, New York","Census Tract 27, New York County, New York","Census Tract 28, New York County, New York","Census Tract 29.01, New York County, New York","Census Tract 29.02, New York County, New York","Census Tract 30.01, New York County, New York","Census Tract 30.02, New York County, New York","Census Tract 31, New York County, New York","Census Tract 32, New York County, New York","Census Tract 33, New York County, New York","Census Tract 34, New York County, New York","Census Tract 36.01, New York County, New York","Census Tract 36.02, New York County, New York","Census Tract 37, New York County, New York","Census Tract 38, New York County, New York","Census Tract 39, New York County, New York","Census Tract 40.01, New York County, New York","Census Tract 40.02, New York County, New York","Census Tract 41, New York County, New York","Census Tract 42, New York County, New York","Census Tract 43, New York County, New York","Census Tract 44, New York County, New York","Census Tract 45, New York County, New York","Census Tract 47, New York County, New York","Census Tract 48, New York County, New York","Census Tract 49, New York County, New York","Census Tract 50, New York County, New York","Census Tract 52, New York County, New York","Census Tract 54, New York County, New York","Census Tract 55.01, New York County, New York","Census Tract 55.02, New York County, New York","Census Tract 56, New York County, New York","Census Tract 57, New York County, New York","Census Tract 58, New York County, New York","Census Tract 59, New York County, New York","Census Tract 60, New York County, New York","Census Tract 61, New York County, New York","Census Tract 62, New York County, New York","Census Tract 63, New York County, New York","Census Tract 64, New York County, New York","Census Tract 65, New York County, New York","Census Tract 66, New York County, New York","Census Tract 67, New York County, New York","Census Tract 68, New York County, New York","Census Tract 69, New York County, New York","Census Tract 70.01, New York County, New York","Census Tract 70.02, New York County, New York","Census Tract 71, New York County, New York","Census Tract 72, New York County, New York","Census Tract 73, New York County, New York","Census Tract 74, New York County, New York","Census Tract 75, New York County, New York","Census Tract 76, New York County, New York","Census Tract 77, New York County, New York","Census Tract 78, New York County, New York","Census Tract 79, New York County, New York","Census Tract 80, New York County, New York","Census Tract 81, New York County, New York","Census Tract 82, New York County, New York","Census Tract 83, New York County, New York","Census Tract 84, New York County, New York","Census Tract 86.01, New York County, New York","Census Tract 86.02, New York County, New York","Census Tract 86.03, New York County, New York","Census Tract 87, New York County, New York","Census Tract 88, New York County, New York","Census Tract 89, New York County, New York","Census Tract 90, New York County, New York","Census Tract 91, New York County, New York","Census Tract 92, New York County, New York","Census Tract 93, New York County, New York","Census Tract 94, New York County, New York","Census Tract 95, New York County, New York","Census Tract 96, New York County, New York","Census Tract 97, New York County, New York","Census Tract 98, New York County, New York","Census Tract 99.01, New York County, New York","Census Tract 99.02, New York County, New York","Census Tract 99.03, New York County, New York","Census Tract 100, New York County, New York","Census Tract 101, New York County, New York","Census Tract 102, New York County, New York","Census Tract 103, New York County, New York","Census Tract 104, New York County, New York","Census Tract 106.01, New York County, New York","Census Tract 106.02, New York County, New York","Census Tract 108.01, New York County, New York","Census Tract 108.02, New York County, New York","Census Tract 108.03, New York County, New York","Census Tract 109, New York County, New York","Census Tract 110, New York County, New York","Census Tract 111, New York County, New York","Census Tract 112.01, New York County, New York","Census Tract 112.02, New York County, New York","Census Tract 112.03, New York County, New York","Census Tract 113, New York County, New York","Census Tract 114.01, New York County, New York","Census Tract 114.02, New York County, New York","Census Tract 115, New York County, New York","Census Tract 116, New York County, New York","Census Tract 117, New York County, New York","Census Tract 118, New York County, New York","Census Tract 119, New York County, New York","Census Tract 120, New York County, New York","Census Tract 121.01, New York County, New York","Census Tract 121.02, New York County, New York","Census Tract 122, New York County, New York","Census Tract 124, New York County, New York","Census Tract 125, New York County, New York","Census Tract 126.01, New York County, New York","Census Tract 126.02, New York County, New York","Census Tract 127, New York County, New York","Census Tract 128, New York County, New York","Census Tract 129.01, New York County, New York","Census Tract 129.02, New York County, New York","Census Tract 130, New York County, New York","Census Tract 131, New York County, New York","Census Tract 132.01, New York County, New York","Census Tract 132.02, New York County, New York","Census Tract 132.03, New York County, New York","Census Tract 133, New York County, New York","Census Tract 134, New York County, New York","Census Tract 135.01, New York County, New York","Census Tract 135.02, New York County, New York","Census Tract 136.01, New York County, New York","Census Tract 136.02, New York County, New York","Census Tract 136.03, New York County, New York","Census Tract 136.04, New York County, New York","Census Tract 137, New York County, New York","Census Tract 138, New York County, New York","Census Tract 139, New York County, New York","Census Tract 140, New York County, New York","Census Tract 142, New York County, New York","Census Tract 143, New York County, New York","Census Tract 144.01, New York County, New York","Census Tract 144.02, New York County, New York","Census Tract 145, New York County, New York","Census Tract 146.01, New York County, New York","Census Tract 146.02, New York County, New York","Census Tract 147, New York County, New York","Census Tract 148.01, New York County, New York","Census Tract 148.02, New York County, New York","Census Tract 149, New York County, New York","Census Tract 150.01, New York County, New York","Census Tract 150.02, New York County, New York","Census Tract 151.01, New York County, New York","Census Tract 151.02, New York County, New York","Census Tract 152, New York County, New York","Census Tract 153.01, New York County, New York","Census Tract 153.02, New York County, New York","Census Tract 154.01, New York County, New York","Census Tract 154.02, New York County, New York","Census Tract 154.03, New York County, New York","Census Tract 155.01, New York County, New York","Census Tract 155.02, New York County, New York","Census Tract 156.01, New York County, New York","Census Tract 156.02, New York County, New York","Census Tract 157, New York County, New York","Census Tract 158.01, New York County, New York","Census Tract 158.02, New York County, New York","Census Tract 159, New York County, New York","Census Tract 160.01, New York County, New York","Census Tract 160.02, New York County, New York","Census Tract 161, New York County, New York","Census Tract 162, New York County, New York","Census Tract 163, New York County, New York","Census Tract 164, New York County, New York","Census Tract 165, New York County, New York","Census Tract 166, New York County, New York","Census Tract 167, New York County, New York","Census Tract 168, New York County, New York","Census Tract 169, New York County, New York","Census Tract 170, New York County, New York","Census Tract 171, New York County, New York","Census Tract 172, New York County, New York","Census Tract 173, New York County, New York","Census Tract 174.01, New York County, New York","Census Tract 174.02, New York County, New York","Census Tract 175, New York County, New York","Census Tract 177, New York County, New York","Census Tract 178, New York County, New York","Census Tract 179, New York County, New York","Census Tract 180, New York County, New York","Census Tract 181, New York County, New York","Census Tract 182, New York County, New York","Census Tract 183, New York County, New York","Census Tract 184, New York County, New York","Census Tract 185, New York County, New York","Census Tract 186, New York County, New York","Census Tract 187, New York County, New York","Census Tract 188, New York County, New York","Census Tract 189, New York County, New York","Census Tract 190, New York County, New York","Census Tract 191, New York County, New York","Census Tract 192, New York County, New York","Census Tract 193, New York County, New York","Census Tract 194, New York County, New York","Census Tract 195, New York County, New York","Census Tract 196, New York County, New York","Census Tract 197.01, New York County, New York","Census Tract 197.02, New York County, New York","Census Tract 198, New York County, New York","Census Tract 199, New York County, New York","Census Tract 200, New York County, New York","Census Tract 201.01, New York County, New York","Census Tract 201.02, New York County, New York","Census Tract 203, New York County, New York","Census Tract 205, New York County, New York","Census Tract 206, New York County, New York","Census Tract 207.01, New York County, New York","Census Tract 208, New York County, New York","Census Tract 209.01, New York County, New York","Census Tract 210, New York County, New York","Census Tract 211, New York County, New York","Census Tract 212, New York County, New York","Census Tract 213.03, New York County, New York","Census Tract 214, New York County, New York","Census Tract 215, New York County, New York","Census Tract 216, New York County, New York","Census Tract 217.03, New York County, New York","Census Tract 218, New York County, New York","Census Tract 219, New York County, New York","Census Tract 220, New York County, New York","Census Tract 221.02, New York County, New York","Census Tract 222, New York County, New York","Census Tract 223.01, New York County, New York","Census Tract 223.02, New York County, New York","Census Tract 224, New York County, New York","Census Tract 225, New York County, New York","Census Tract 226, New York County, New York","Census Tract 227, New York County, New York","Census Tract 228, New York County, New York","Census Tract 229, New York County, New York","Census Tract 230, New York County, New York","Census Tract 231, New York County, New York","Census Tract 232, New York County, New York","Census Tract 233, New York County, New York","Census Tract 234, New York County, New York","Census Tract 235.01, New York County, New York","Census Tract 235.02, New York County, New York","Census Tract 236, New York County, New York","Census Tract 237, New York County, New York","Census Tract 238.02, New York County, New York","Census Tract 238.03, New York County, New York","Census Tract 238.04, New York County, New York","Census Tract 239, New York County, New York","Census Tract 240, New York County, New York","Census Tract 241, New York County, New York","Census Tract 242, New York County, New York","Census Tract 243.01, New York County, New York","Census Tract 243.02, New York County, New York","Census Tract 245, New York County, New York","Census Tract 247, New York County, New York","Census Tract 249, New York County, New York","Census Tract 251, New York County, New York","Census Tract 253, New York County, New York","Census Tract 255, New York County, New York","Census Tract 257, New York County, New York","Census Tract 259, New York County, New York","Census Tract 261, New York County, New York","Census Tract 263, New York County, New York","Census Tract 265, New York County, New York","Census Tract 267, New York County, New York","Census Tract 269, New York County, New York","Census Tract 271, New York County, New York","Census Tract 273, New York County, New York","Census Tract 275, New York County, New York","Census Tract 277, New York County, New York","Census Tract 279, New York County, New York","Census Tract 281, New York County, New York","Census Tract 283, New York County, New York","Census Tract 285, New York County, New York","Census Tract 287, New York County, New York","Census Tract 291, New York County, New York","Census Tract 293, New York County, New York","Census Tract 295, New York County, New York","Census Tract 297, New York County, New York","Census Tract 299, New York County, New York","Census Tract 303, New York County, New York","Census Tract 307, New York County, New York","Census Tract 309, New York County, New York","Census Tract 311, New York County, New York","Census Tract 317.03, New York County, New York","Census Tract 317.04, New York County, New York","Census Tract 319, New York County, New York"
"Total:","0","2,012","7,266","5","11,616","10,542","10,871","2,016","1,767","6,300","3,776","5,402","3,543","3,418","8,385","10,378","7,698","7,934","4,648","7,811","6,969","2,488","4,518","4,630","3,609","4,816","1,370","6,819","1,096","4,359","4,663","3,035","2,989","8,372","6,458","7,012","3,513","3,000","3,092","9,070","7,036","3,743","5,090","7,523","5,216","4,158","17,222","1,093","2,644","6,955","4,777","5,223","3,808","4,909","4,564","1,956","4,281","2,998","5,109","5,707","5,290","5,494","3,686","6,707","8,744","6,721","12,341","5,547","7,706","2,799","4,550","4,865","5,851","9,358","6,180","5,698","4,000","2,921","6,192","9,109","4,442","5,906","7,853","3,414","3,853","1,985","4,853","0","5,347","6,510","8,852","5,957","8,830","7,362","1,866","9,325","109","3,892","608","5,071","8,078","2,093","3,848","2,380","2,170","2,596","283","4,095","983","8,256","5,489","3,297","3,805","2,696","407","7,671","6,138","1,233","500","1,420","216","1,361","2,620","3,863","3,263","5,256","9,688","1,666","3,905","3,408","5,236","3,425","10,845","2,901","7,437","6,400","7,282","6,545","7,959","3,144","3,911","3,962","3,146","4,237","3,747","6,782","11,882","5,504","6,358","1,962","5,070","4,387","5,057","7,308","13,109","9,988","8,050","4,463","129","5,040","7,151","7,532","4,481","9,061","2,987","3,221","7,494","6,351","2,321","5,642","3,756","8,254","7,730","3,684","6,032","5,189","4,503","5,738","5,091","5,759","5,568","2,154","11,197","5,600","4,516","10,054","3,852","3,607","6,617","9,033","7,292","7,371","6,659","7,012","7,210","4,964","8,526","7,991","9,694","5,441","8,699","5,449","2,276","11,110","9,382","3,860","9,103","7,429","8,941","7,675","8,534","7,820","5,243","5,127","9,383","5,697","11,556","3,679","9,005","3,971","8,736","6,978","7,828","4,031","1,278","2,601","2,370","9,598","2,855","1,863","4,077","3,874","5,023","3,628","3,035","5,255","3,665","6,748","10,529","4,899","5,583","3,075","3,856","8,567","545","6,530","5,696","6,114","2,382","3,293","7,258","3,101","7,346","9,895","4,890","5,387","5,961","7,975","9,111","6,273","8,061","6,368","5,112","6,720","2,206","9,907","6,792","4,791","3,625","3,306","2,675","1,302","7,612","4,448","3,993","7,237","13,385","6,521","1,084","2,287","10,081","5,697","4,270","4,029","10,733","7,969","6,850","2,083","7,848","7,623","6,519","3,063","6,423","10,019","3,108","7,740","6,794","3,772","10,509","8,035","7,039","16","3,598","3,691","3,427","8,594","12","5,847","10,422","3"
"    Population of one race:","0","1,775","6,365","3","10,740","9,622","10,598","1,835","1,562","5,433","3,298","4,855","3,145","3,039","7,736","9,453","7,364","7,392","3,964","6,997","5,972","2,250","3,894","4,152","3,088","4,310","1,320","5,847","1,083","4,197","4,235","2,739","2,670","7,627","5,860","6,299","3,173","2,743","2,781","8,253","6,396","3,421","4,623","7,086","4,868","3,792","15,571","999","2,401","6,481","4,345","4,885","3,380","4,544","4,072","1,803","3,906","2,812","4,707","5,301","4,760","5,010","3,349","6,209","7,975","6,168","11,237","5,118","7,163","2,531","4,161","4,477","5,394","8,746","5,719","5,319","3,685","2,719","5,754","8,407","4,091","5,518","7,093","3,129","3,385","1,847","4,514","0","5,014","5,910","8,141","5,394","8,145","6,760","1,685","8,373","102","3,716","568","4,492","7,463","1,864","3,411","2,161","1,996","2,429","255","3,782","913","7,797","4,986","3,064","3,560","2,511","382","7,064","5,632","1,106","469","1,329","196","1,282","2,419","3,572","2,956","4,671","9,053","1,539","3,695","3,116","4,634","3,248","10,067","2,707","6,981","6,013","6,450","6,203","7,202","2,773","3,718","3,598","2,930","3,838","3,462","6,049","11,079","4,860","5,563","1,871","4,697","4,054","4,642","6,775","12,227","9,145","7,552","4,190","117","4,651","6,513","6,828","4,105","8,302","2,700","2,989","6,987","5,852","2,185","5,352","3,160","7,369","7,005","3,387","5,507","4,743","4,057","5,210","4,762","5,369","5,094","1,914","10,355","5,158","4,106","9,240","3,613","3,323","6,058","8,002","6,665","6,397","6,073","5,967","6,667","4,393","7,828","6,980","8,888","4,654","7,774","4,741","1,940","9,958","8,188","3,211","8,299","6,337","7,952","6,636","7,722","6,682","4,763","4,518","8,494","4,973","9,966","3,206","8,165","3,507","7,458","5,934","6,918","3,539","1,182","2,238","2,143","8,617","2,520","1,696","3,547","3,541","4,502","3,233","2,708","4,782","3,281","6,042","9,301","4,452","4,939","2,785","3,469","7,563","492","5,948","4,942","5,469","2,146","2,953","5,967","2,583","6,604","8,287","4,435","4,794","5,394","6,750","8,254","5,441","7,216","5,446","4,517","5,881","1,980","9,247","5,775","4,383","3,212","3,005","2,264","1,253","6,461","3,970","3,448","6,385","11,033","5,286","895","1,900","8,268","4,799","3,756","3,519","8,603","6,387","5,596","1,819","6,459","6,271","5,680","2,676","5,331","8,223","2,746","6,330","5,606","3,081","8,586","6,584","5,793","8","2,997","3,011","2,840","7,155","10","5,243","9,428","1"
"        White alone","0","332","2,110","0","1,680","7,040","1,335","1,227","1,124","798","1,877","3,460","2,160","1,096","4,969","6,632","1,458","2,754","579","5,363","1,979","1,406","497","404","1,347","2,608","245","2,592","434","590","2,709","1,726","1,346","5,886","4,932","4,699","1,262","1,873","2,276","6,185","5,347","2,757","3,305","2,714","2,899","2,665","11,456","699","2,048","4,982","3,712","4,037","2,495","3,783","3,067","1,509","2,668","2,422","3,642","4,387","3,798","3,716","1,731","5,415","6,029","4,948","6,810","4,523","5,172","2,114","3,025","3,515","4,653","6,673","5,091","3,779","3,294","1,226","5,056","5,595","3,609","4,185","5,724","2,291","1,853","804","2,545","0","4,275","4,755","5,489","3,982","5,370","5,006","1,089","6,048","59","2,537","154","2,520","5,545","1,458","2,281","1,024","1,354","885","210","2,265","670","7,094","3,579","2,379","2,954","1,929","144","5,655","2,703","914","379","982","86","1,094","2,090","1,498","2,257","2,303","7,874","499","3,329","1,685","3,519","2,990","7,998","1,119","5,925","5,383","4,167","5,709","3,595","1,651","3,453","1,992","2,367","3,126","2,792","3,735","9,459","2,525","2,748","1,738","3,975","3,560","3,904","4,853","10,205","6,388","6,719","3,908","39","4,091","5,573","4,810","3,325","6,849","1,705","2,545","6,017","4,913","1,987","4,945","748","4,234","4,396","3,015","4,512","3,743","3,126","3,549","3,931","4,210","3,541","751","8,701","4,386","2,629","7,696","3,337","2,407","5,228","1,106","5,455","1,377","5,247","1,885","5,668","1,162","6,457","1,417","7,422","1,015","6,023","979","510","8,346","5,139","1,018","6,291","1,251","5,345","1,256","5,676","1,164","3,146","568","6,116","1,091","3,614","809","5,784","438","2,893","1,003","4,658","788","419","951","622","5,167","901","898","1,238","1,595","3,115","706","1,526","1,069","430","340","3,638","688","1,297","357","520","2,233","220","1,482","540","1,557","593","884","1,494","553","879","1,882","915","1,432","1,011","1,589","1,079","1,543","640","1,669","864","1,381","260","375","1,475","1,638","1,502","1,373","488","304","1,900","360","767","455","2,246","1,551","192","361","2,086","2,081","1,425","809","1,074","1,342","2,451","1,226","1,153","2,396","4,224","2,149","1,013","2,512","2,192","1,842","1,079","1,323","1,192","994","2,701","0","336","1,489","2,016","1,110","2","3,963","6,539","1"
"        Black or African American alone","0","315","1,221","1","1,527","385","273","165","57","1,713","158","184","90","379","389","527","275","456","1,094","137","972","246","1,252","1,097","475","491","22","911","489","37","190","165","365","268","101","277","509","227","91","349","239","154","193","239","388","87","603","17","43","303","94","72","168","74","199","53","553","42","177","119","152","344","451","133","309","216","1,151","84","480","90","195","84","227","394","110","329","91","295","99","280","95","271","248","91","553","317","227","0","59","130","289","390","310","458","101","791","11","432","279","713","182","92","309","267","135","452","3","350","28","52","336","71","51","25","95","182","897","10","12","19","50","39","47","334","95","496","102","813","56","395","338","21","226","312","98","80","334","46","950","346","45","366","46","108","80","269","233","427","741","4","95","80","99","443","290","558","79","14","58","80","133","282","101","145","63","34","71","119","16","30","1,212","691","1,091","42","70","212","147","489","55","144","334","374","281","120","343","190","34","163","134","3,848","355","2,325","147","1,483","242","1,543","303","1,529","501","1,257","652","1,937","800","508","1,440","831","674","1,928","1,120","2,427","529","3,017","488","2,658","975","1,279","3,024","1,739","848","1,664","1,625","2,425","451","1,441","163","769","1,091","919","1,274","181","1,672","532","290","1,966","162","3,119","1,674","4,656","1,949","3,025","2,132","2,106","2,234","3,788","130","3,557","2,276","2,990","1,276","1,631","756","713","4,241","2,182","2,749","2,152","3,643","1,825","5,764","2,325","5,059","1,618","2,759","2,536","1,342","7,935","1,790","622","634","75","886","720","1,755","2,236","1,199","3,888","1,647","815","211","319","917","475","1,674","1,806","1,263","679","471","54","771","437","288","132","706","739","170","760","597","281","987","659","560","5","964","271","264","2,196","6","128","173","0"
"        American Indian and Alaska Native alone","0","19","47","0","65","14","4","8","9","108","29","6","6","28","14","14","4","16","79","10","63","5","87","38","38","20","1","65","1","6","12","66","9","20","1","35","23","8","0","24","13","5","12","8","12","6","23","0","7","16","2","7","6","4","6","3","12","0","4","2","0","10","6","6","10","6","55","4","18","0","0","4","9","12","7","5","7","8","5","14","11","2","23","8","35","5","9","0","3","12","12","34","7","20","4","39","1","19","2","33","10","5","11","6","4","11","0","8","0","2","4","5","4","3","0","8","29","2","2","3","0","0","1","14","5","15","6","24","4","18","23","1","11","11","10","1","63","0","35","31","4","6","5","7","4","21","17","31","35","0","5","2","10","8","16","31","3","0","3","8","6","12","12","4","4","3","9","2","2","1","49","22","23","0","8","2","11","15","8","12","5","21","27","10","7","20","5","10","0","104","14","108","10","168","5","28","14","246","25","142","19","45","12","7","45","60","33","147","16","196","39","110","15","42","45","217","81","23","33","50","84","111","59","73","3","6","14","49","16","11","16","25","13","29","8","23","37","42","93","40","36","24","32","35","9","34","126","33","7","21","136","12","66","149","13","78","38","149","67","87","101","120","41","116","15","62","136","186","2","0","43","7","91","94","57","50","249","142","11","12","137","46","5","20","185","131","60","10","132","132","25","3","57","130","6","123","91","31","171","131","60","0","34","43","13","113","1","0","10","0"
"        Asian alone","0","708","1,852","2","6,067","1,909","8,724","362","282","1,065","674","1,058","736","1,035","2,114","1,962","5,488","3,592","772","1,337","1,479","382","652","1,764","509","797","1,026","1,028","119","3,503","945","502","623","1,138","751","771","745","478","338","1,254","631","359","815","3,840","1,391","764","3,001","251","250","966","436","689","488","618","681","182","551","311","741","632","691","712","981","454","1,231","840","2,160","375","1,132","226","781","764","369","1,453","378","1,045","213","1,067","454","2,306","282","936","795","658","438","610","1,595","0","552","773","2,128","583","2,240","1,029","427","849","27","594","82","677","1,515","248","593","690","427","913","31","1,015","171","555","949","545","485","515","124","1,033","1,568","149","67","292","50","124","241","1,416","491","1,458","944","49","250","775","440","184","1,599","1,078","819","437","1,121","341","2,087","392","192","1,074","456","497","493","1,486","1,139","1,206","1,424","109","507","342","504","1,283","1,446","1,750","623","211","2","388","675","1,481","564","1,110","845","354","758","720","147","309","445","1,939","797","275","825","632","641","856","693","869","929","373","970","505","834","1,126","198","566","511","940","614","756","486","579","544","297","607","1,305","587","431","576","516","229","700","617","154","735","493","887","483","914","449","937","208","771","292","736","321","891","190","1,035","278","1,123","238","482","316","213","1,930","171","523","197","1,098","928","115","912","186","172","149","2,046","214","303","135","116","530","91","301","122","263","95","188","304","254","170","318","196","228","163","270","247","271","144","302","158","158","87","105","190","1,579","886","1,438","80","13","312","137","88","181","497","222","78","106","378","917","254","224","112","203","302","27","143","206","320","211","92","220","158","319","148","93","139","112","255","0","32","139","160","149","0","1,035","2,443","0"
"        Native Hawaiian and Other Pacific Islander alone","0","1","5","0","10","10","6","6","0","14","0","0","1","2","8","5","3","3","9","5","7","9","3","8","2","4","1","10","4","1","4","2","3","10","7","10","16","0","1","8","0","4","7","18","2","6","2","0","0","3","5","0","1","2","2","3","4","1","1","5","3","2","3","3","77","3","212","1","3","3","6","11","11","9","3","2","0","12","1","3","0","1","5","1","3","11","7","0","0","7","0","20","18","1","1","4","0","18","9","9","16","2","0","5","5","11","0","9","0","1","7","0","4","2","0","9","18","1","1","2","0","0","1","4","2","7","2","14","2","8","2","1","0","9","0","1","2","0","112","3","0","3","1","4","7","2","5","1","4","0","0","1","0","1","1","2","1","0","0","0","0","0","0","0","1","0","0","0","1","0","15","4","5","0","0","2","2","0","1","4","4","1","3","1","2","5","4","1","2","7","6","16","3","11","9","7","1","15","9","2","8","0","2","3","2","7","3","4","2","4","0","17","2","8","3","3","5","5","9","1","3","8","0","1","1","0","0","15","4","1","4","2","3","1","2","1","8","4","6","3","2","4","0","2","0","0","6","0","3","4","18","1","7","15","9","9","18","2","12","10","9","3","6","4","2","5","0","80","3","15","0","12","4","12","6","8","11","1","2","0","12","9","0","7","9","16","2","0","5","3","7","0","0","15","0","2","3","1","17","7","6","0","3","10","1","2","1","2","8","0"
"        Some Other Race alone","0","400","1,130","0","1,391","264","256","67","90","1,735","560","147","152","499","242","313","136","571","1,431","145","1,472","202","1,403","841","717","390","25","1,241","36","60","375","278","324","305","68","507","618","157","75","433","166","142","291","267","176","264","486","32","53","211","96","80","222","63","117","53","118","36","142","156","116","226","177","198","319","155","849","131","358","98","154","99","125","205","130","159","80","111","139","209","94","123","298","80","503","100","131","0","125","233","223","385","200","246","63","642","4","116","42","540","195","59","217","169","71","157","11","135","44","93","111","64","62","37","19","177","417","30","8","31","10","25","39","306","106","392","125","140","54","235","312","51","233","178","129","111","763","107","423","350","24","157","55","96","86","536","226","670","611","20","115","69","125","187","269","416","127","57","15","84","126","243","103","194","82","53","132","98","32","67","691","479","693","55","92","152","130","301","74","130","281","394","373","136","291","203","35","176","183","1,997","221","1,815","180","1,841","199","1,356","446","2,468","344","1,807","496","1,264","387","394","945","1,141","563","2,514","582","2,270","564","1,925","175","1,034","584","2,091","2,506","309","600","1,164","1,818","2,109","627","998","114","196","203","537","154","82","420","289","153","416","98","384","960","851","1,569","482","1,169","159","567","975","42","574","1,872","626","172","225","3,259","1,050","1,241","3,741","553","895","521","2,915","1,085","1,205","1,263","1,734","689","1,686","274","765","2,184","278","185","104","767","197","2,399","1,131","1,331","1,803","6,383","2,555","401","1,102","4,738","1,271","398","653","5,960","4,016","2,310","502","4,255","3,097","816","181","3,463","4,607","220","3,284","3,688","1,352","6,080","4,681","2,211","3","1,628","1,059","386","3,585","0","115","255","0"
"    Population of two or more races:","0","237","901","2","876","920","273","181","205","867","478","547","398","379","649","925","334","542","684","814","997","238","624","478","521","506","50","972","13","162","428","296","319","745","598","713","340","257","311","817","640","322","467","437","348","366","1,651","94","243","474","432","338","428","365","492","153","375","186","402","406","530","484","337","498","769","553","1,104","429","543","268","389","388","457","612","461","379","315","202","438","702","351","388","760","285","468","138","339","0","333","600","711","563","685","602","181","952","7","176","40","579","615","229","437","219","174","167","28","313","70","459","503","233","245","185","25","607","506","127","31","91","20","79","201","291","307","585","635","127","210","292","602","177","778","194","456","387","832","342","757","371","193","364","216","399","285","733","803","644","795","91","373","333","415","533","882","843","498","273","12","389","638","704","376","759","287","232","507","499","136","290","596","885","725","297","525","446","446","528","329","390","474","240","842","442","410","814","239","284","559","1,031","627","974","586","1,045","543","571","698","1,011","806","787","925","708","336","1,152","1,194","649","804","1,092","989","1,039","812","1,138","480","609","889","724","1,590","473","840","464","1,278","1,044","910","492","96","363","227","981","335","167","530","333","521","395","327","473","384","706","1,228","447","644","290","387","1,004","53","582","754","645","236","340","1,291","518","742","1,608","455","593","567","1,225","857","832","845","922","595","839","226","660","1,017","408","413","301","411","49","1,151","478","545","852","2,352","1,235","189","387","1,813","898","514","510","2,130","1,582","1,254","264","1,389","1,352","839","387","1,092","1,796","362","1,410","1,188","691","1,923","1,451","1,246","8","601","680","587","1,439","2","604","994","2"
"        Population of two races:","0","213","805","2","781","866","242","164","198","804","441","501","371","343","608","882","299","509","614","764","880","208","560","446","474","468","45","871","12","148","402","276","309","689","574","675","327","250","288","742","624","304","441","409","322","344","1,523","93","229","453","406","327","412","332","458","143","362","172","386","373","501","448","311","472","727","523","1,050","404","517","255","361","375","442","551","444","351","299","178","403","667","330","361","725","269","438","120","316","0","317","564","679","507","660","577","174","882","6","168","35","520","582","216","400","195","165","144","26","269","66","437","463","221","233","169","20","575","477","120","26","79","18","74","193","267","282","539","611","120","202","257","545","169","748","176","429","371","784","324","690","338","183","348","200","379","270","676","753","586","742","79","340","298","388","501","818","783","490","267","12","371","599","669","359","717","257","224","491","466","126","269","548","796","651","290","487","412","417","507","308","364","444","218","802","424","381","778","219","258","534","929","608","866","552","948","520","510","648","899","763","725","845","634","292","1,105","1,083","581","743","1,022","898","938","759","1,015","436","558","829","661","1,418","419","786","421","1,147","936","854","457","87","334","204","896","302","155","476","316","498","331","296","423","343","638","1,117","400","590","262","360","916","48","520","695","583","200","292","1,181","471","658","1,407","397","544","483","1,144","776","751","761","828","499","750","199","579","916","392","388","287","360","46","1,015","429","470","789","2,154","1,106","179","346","1,635","821","472","460","1,873","1,409","1,106","219","1,264","1,179","718","340","1,008","1,598","338","1,249","1,066","606","1,726","1,275","1,125","8","534","575","528","1,333","2","562","939","0"
